sku,dealer,premium_usd,availability,url,verified_at
ase,jm,82.96,in_stock,https://www.jmbullion.com/american-silver-eagle-varied-year/,2026-09-20T10:27:18Z
ase,sd,74.86,in_stock,https://sdbullion.com/1-oz-american-silver-eagle-coins-random-year,2026-09-20T10:27:18Z
ase,apmex,74.03,in_stock,https://www.apmex.com/product/23331/1-oz-american-silver-eagle-coin-bu-random-year,2026-09-20T10:27:18Z
ase,money_metals,77.91,in_stock,https://www.moneymetals.com/1-oz-american-silver-eagle-random-year/262,2026-09-20T10:27:18Z
ase,monument,72.02,in_stock,https://monumentmetals.com/1-oz-american-silver-eagle-bu-dates-our-choice.html,2026-09-20T10:27:18Z
ase,bgasc,80.56,in_stock,https://www.bgasc.com/product/1-oz-american-silver-eagle-coins-random-year,2026-09-20T10:27:18Z
silver_maple,jm,77.86,in_stock,https://www.jmbullion.com/canadian-silver-maple-leaf-varied-year/,2026-09-20T10:27:18Z
silver_maple,sd,72.86,in_stock,https://sdbullion.com/canadian-silver-maple-leaf-coin-random-year,2026-09-20T10:27:18Z
silver_maple,apmex,78.03,in_stock,https://www.apmex.com/product/1090/1-oz-canadian-silver-maple-leaf-coin-bu-random-year,2026-09-20T10:27:18Z
silver_maple,money_metals,76.81,in_stock,https://www.moneymetals.com/canadian-maple-leaf-king-charles-iii-1-troy-oz-silver-9999-pure/1018,2026-09-20T10:27:18Z
silver_maple,monument,68.38,in_stock,https://monumentmetals.com/random-date-silver-maple-leaf.html,2026-09-20T10:27:18Z
silver_maple,bgasc,75.36,in_stock,https://www.bgasc.com/product/1-oz-canadian-silver-maple-leaf-coin-random-year,2026-09-20T10:27:18Z
oz1_bar,jm,76.86,in_stock,https://www.jmbullion.com/1-oz-silver-bar/,2026-09-20T10:27:18Z
oz1_bar,sd,71.86,in_stock,https://sdbullion.com/generic-1-oz-silver-bar-999-fine-silver,2026-09-20T10:27:18Z
oz1_bar,apmex,78.03,in_stock,https://www.apmex.com/product/27086/1-oz-silver-bar-apmex,2026-09-20T10:27:18Z
oz1_bar,money_metals,73.11,in_stock,https://www.moneymetals.com/1-oz-generic-silver-bar/153,2026-09-20T10:27:18Z
oz1_bar,monument,66.88,in_stock,https://monumentmetals.com/secondary-market-1-oz-silver-bar-999-fine.html,2026-09-20T10:27:18Z
oz1_bar,bgasc,75.36,in_stock,https://www.bgasc.com/product/1-oz-silver-bars-secondary-market-random-assorted,2026-09-20T10:27:18Z
